@relation TrainingData.arff

@attribute Aluminium numeric
@attribute Krzem numeric
@attribute Magnez numeric
@attribute Miedz numeric
@attribute Cynk numeric
@attribute Cyna numeric
@attribute Nikiel numeric
@attribute Zelazo numeric
@attribute Olow numeric
@attribute TemperaturaWytapiania numeric
@attribute CzasWytapiania numeric
@attribute TemperaturaStudzenia numeric
@attribute CzasPodgrzewania numeric
@attribute TemperaturaStudzenia2 numeric
@attribute CzasPodgrzewania2 numeric
@attribute StopieńUszlachetniania numeric
@attribute Jakość numeric

@data
80,20,0,0,0,0,0,0,0,835,35,521,21,311,22,1,3.165545
80,20,0,0,0,0,0,0,0,798,64,502,6,261,10,5,6.500654
80,20,0,0,0,0,0,0,0,754,49,419,9,224,20,3,-1.36002
80,20,0,0,0,0,0,0,0,752,32,444,10,236,36,4,1.748806
80,20,0,0,0,0,0,0,0,731,44,497,22,196,18,4,0.242353
80,20,0,0,0,0,0,0,0,788,40,610,17,258,10,2,-3.180957
80,20,0,0,0,0,0,0,0,906,30,661,17,359,10,3,6.402059
80,20,0,0,0,0,0,0,0,803,64,493,16,237,22,3,4.029326
80,20,0,0,0,0,0,0,0,853,58,600,10,240,20,1,2.94365
80,20,0,0,0,0,0,0,0,729,52,482,23,263,33,2,-5.888696
80,20,0,0,0,0,0,0,0,709,55,518,20,287,24,2,-11.235946
80,20,0,0,0,0,0,0,0,733,49,428,24,251,36,2,-5.715193
80,20,0,0,0,0,0,0,0,818,49,518,19,220,13,2,5.295753
80,20,0,0,0,0,0,0,0,761,41,566,15,191,32,3,-1.948964
80,20,0,0,0,0,0,0,0,917,67,637,5,231,25,1,5.496625
80,20,0,0,0,0,0,0,0,738,36,541,12,278,17,4,-1.546493
80,20,0,0,0,0,0,0,0,757,34,452,23,217,10,4,2.795245
80,20,0,0,0,0,0,0,0,724,45,508,8,224,21,5,0.063132
80,20,0,0,0,0,0,0,0,789,69,494,15,286,21,4,4.795955
80,20,0,0,0,0,0,0,0,719,56,524,14,308,18,4,-5.530805
80,20,0,0,0,0,0,0,0,815,52,643,20,327,31,2,0.861837
80,20,0,0,0,0,0,0,0,723,35,458,5,213,23,1,-1.403052
80,20,0,0,0,0,0,0,0,821,62,643,15,299,22,4,3.528642
80,20,0,0,0,0,0,0,0,764,60,603,7,246,17,2,-5.767472
80,20,0,0,0,0,0,0,0,762,42,466,14,211,34,5,5.52189
80,20,0,0,0,0,0,0,0,733,34,406,7,252,14,2,-0.912694
80,20,0,0,0,0,0,0,0,806,65,601,15,307,21,3,-0.848175
80,20,0,0,0,0,0,0,0,726,48,517,10,215,28,2,-7.695318
80,20,0,0,0,0,0,0,0,706,35,496,9,223,10,2,-5.303705
80,20,0,0,0,0,0,0,0,753,33,470,20,237,35,3,2.201301
80,20,0,0,0,0,0,0,0,781,50,558,9,241,38,4,3.905054
80,20,0,0,0,0,0,0,0,831,37,645,11,362,19,3,2.875975
80,20,0,0,0,0,0,0,0,758,47,559,10,288,39,4,-1.184011
80,20,0,0,0,0,0,0,0,752,61,575,6,225,28,2,-7.119799
80,20,0,0,0,0,0,0,0,709,67,404,10,197,17,5,2.399561
80,20,0,0,0,0,0,0,0,828,51,478,22,253,33,2,3.034516
80,20,0,0,0,0,0,0,0,863,62,659,13,269,31,3,3.783835
80,20,0,0,0,0,0,0,0,845,40,540,10,337,33,1,4.712677
80,20,0,0,0,0,0,0,0,781,49,427,12,237,28,1,-2.265972
80,20,0,0,0,0,0,0,0,780,57,428,17,266,24,2,0.520518
80,20,0,0,0,0,0,0,0,856,62,613,20,325,15,2,2.857805
80,20,0,0,0,0,0,0,0,752,69,564,5,315,32,4,-2.869368
80,20,0,0,0,0,0,0,0,809,68,508,11,320,38,4,6.397061
80,20,0,0,0,0,0,0,0,839,57,651,21,289,38,3,4.470429
80,20,0,0,0,0,0,0,0,848,49,669,24,287,16,1,2.951649
80,20,0,0,0,0,0,0,0,729,37,425,23,190,13,3,1.129789
80,20,0,0,0,0,0,0,0,767,56,496,24,292,21,5,5.308067
80,20,0,0,0,0,0,0,0,881,31,517,5,220,26,2,0.669062
80,20,0,0,0,0,0,0,0,950,33,520,6,324,12,1,-0.019786
80,20,0,0,0,0,0,0,0,900,66,636,23,322,38,1,5.151209
80,20,0,0,0,0,0,0,0,740,38,580,23,307,25,4,-0.772422
80,20,0,0,0,0,0,0,0,808,38,521,17,234,22,2,3.838992
80,20,0,0,0,0,0,0,0,804,66,587,19,322,37,4,2.382478
80,20,0,0,0,0,0,0,0,748,47,431,22,197,14,4,-0.206561
80,20,0,0,0,0,0,0,0,879,33,679,5,288,37,1,-0.157207
80,20,0,0,0,0,0,0,0,769,43,473,8,264,30,2,1.215166
80,20,0,0,0,0,0,0,0,750,33,520,20,291,19,3,-0.058591
80,20,0,0,0,0,0,0,0,771,43,500,7,305,29,5,6.536655
80,20,0,0,0,0,0,0,0,778,63,607,12,218,31,5,2.014234
80,20,0,0,0,0,0,0,0,850,53,647,22,263,34,1,2.681627
80,20,0,0,0,0,0,0,0,757,66,458,13,287,22,5,4.814763
80,20,0,0,0,0,0,0,0,715,32,483,16,261,20,3,-1.515085
80,20,0,0,0,0,0,0,0,816,68,571,14,264,20,5,5.914861
80,20,0,0,0,0,0,0,0,711,66,531,24,258,36,4,-4.981657
80,20,0,0,0,0,0,0,0,899,38,497,11,326,30,2,3.377574
80,20,0,0,0,0,0,0,0,724,35,393,22,241,20,5,1.959729
80,20,0,0,0,0,0,0,0,711,45,405,16,266,13,5,-1.415169
80,20,0,0,0,0,0,0,0,757,31,474,17,269,17,1,-1.251849
80,20,0,0,0,0,0,0,0,727,64,511,10,298,26,1,-6.837426
80,20,0,0,0,0,0,0,0,742,49,497,9,265,19,1,-6.015141
80,20,0,0,0,0,0,0,0,769,41,595,6,329,16,4,0.298162
80,20,0,0,0,0,0,0,0,761,59,593,21,221,27,3,-3.581013
80,20,0,0,0,0,0,0,0,744,41,448,11,261,30,1,-0.482504
80,20,0,0,0,0,0,0,0,718,68,544,21,291,31,3,-6.88496
80,20,0,0,0,0,0,0,0,759,37,542,7,275,14,5,3.190973
80,20,0,0,0,0,0,0,0,720,39,515,21,273,22,3,-3.428202
80,20,0,0,0,0,0,0,0,811,53,581,9,339,19,3,2.543386
80,20,0,0,0,0,0,0,0,805,59,448,12,209,24,4,3.678874
80,20,0,0,0,0,0,0,0,740,37,525,22,283,39,5,3.700213
80,20,0,0,0,0,0,0,0,745,52,471,8,219,27,3,0.403376
80,20,0,0,0,0,0,0,0,1086,62,615,21,331,32,1,9.406232
80,20,0,0,0,0,0,0,0,884,41,624,6,321,23,1,5.89937
80,20,0,0,0,0,0,0,0,1108,31,663,20,430,26,3,14.223993
80,20,0,0,0,0,0,0,0,1006,42,574,10,389,38,1,9.501639
80,20,0,0,0,0,0,0,0,931,38,559,16,248,19,4,10.368119
80,20,0,0,0,0,0,0,0,1097,31,818,9,329,29,1,11.233909
80,20,0,0,0,0,0,0,0,967,59,601,8,289,18,2,11.940759
80,20,0,0,0,0,0,0,0,977,63,559,18,313,37,1,6.204891
80,20,0,0,0,0,0,0,0,798,49,446,24,243,18,4,1.961296
80,20,0,0,0,0,0,0,0,1115,69,663,6,429,26,2,14.899729
